[  0]  | Base year |           1 | 2 |           3 |           4 |           5 |           6 |           7 |           8 |           9 |          10 | Terminal year | 
[  1] Revenue growth rate |  |        0.01 |       0.025 |       0.025 |       0.025 |       0.025 |       0.027 |       0.029 |       0.031 |       0.033 |       0.035 |       0.035 | 
[  2] Revenues |      43,087 |      43,518 |      44,606 |      45,721 |      46,864 |      48,036 |      49,333 |      50,764 |      52,337 |      54,064 |      55,957 |      57,915 | 
[  3] EBIT (Operating) margin |     0.22429 |       0.224 |      0.2224 |      0.2216 |      0.2208 |        0.22 |        0.22 |        0.22 |        0.22 |        0.22 |        0.22 |        0.22 | 
[  4] EBIT (Operating income) |     9,664.2 |     9,748.1 |     9,920.4 |      10,132 |      10,348 |      10,568 |      10,853 |      11,168 |      11,514 |      11,894 |      12,310 |      12,741 |     3,077.1
[  5] Tax rate |       0.241 |       0.241 |       0.241 |       0.241 |       0.241 |       0.241 |      0.2528 |      0.2646 |      0.2764 |      0.2882 |         0.3 |         0.3 | 
[  6] EBIT(1-t) |     7,335.1 |     7,398.8 |     7,529.6 |     7,690.1 |     7,853.9 |     8,021.1 |     8,109.6 |       8,213 |     8,331.7 |     8,466.3 |     8,617.3 |     8,918.9 | 
[  7]  - Reinvestment |  |       725.3 |      743.44 |      762.02 |      781.07 |      864.65 |      894.16 |      983.55 |     1,079.5 |     1,182.7 |     1,224.1 |     3,021.9 |      12,262
[  8] FCFF |  |     6,673.5 |     6,786.2 |     6,928.1 |     7,072.8 |     7,156.4 |     7,215.4 |     7,229.4 |     7,252.2 |     7,283.6 |     7,393.3 |       5,897 | 
[  9] NOL | 0 |           0 | 0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 | 0 | 
[ 11] Cost of capital |  |     0.11237 |     0.11237 |     0.11237 |     0.11237 |     0.11237 |     0.11056 |     0.10874 |     0.10693 |     0.10511 |      0.1033 |      0.1033 | 
[ 12] Cumulated discount factor |  |     0.89898 |     0.80817 |     0.72652 |     0.65313 |     0.58715 |      0.5287 |     0.47685 |     0.43078 |     0.38981 |     0.35331 |  | 
[ 13] PV(FCFF) |  |     5,999.3 |     5,484.3 |     5,033.4 |     4,619.5 |     4,201.9 |     3,814.8 |     3,447.3 |     3,124.1 |     2,839.2 |     2,612.1 |  | 
[ 15] Terminal cash flow |       5,897 |  |  |  |  |  |  |  |  |  |  |  | 
[ 16] Terminal cost of capital |      0.1033 |  |  |  |  |  |  |  |  |  |  |  | 
[ 17] Terminal value |      86,340 |  |  |  |  |  |  |  |  |  |  |  | 
[ 18] PV(Terminal value) |      30,505 |  |  |  |  |  |  |  |  |  |  |  | 
[ 19] PV (CF over next 10 years) |      41,176 |  |  |  |  |  |  |  |  |  |  |  | 
[ 20] Sum of PV |      71,681 |  |  |  |  |  |  |  |  |  |  |  | 
[ 21] Probability of failure = | 0 |  |  |  |  |  |  |  |  |  |  |  | 
[ 22] Proceeds if firm fails = |      35,841 |  |  |  |  |  |  |  |  |  |  |  | 
[ 23] Value of operating assets = |      71,681 |  |  |  |  |  |  |  |  |  |  |  | 
[ 24]  - Debt |      20,830 |  |  |  |  |  |  |  |  |  |  |  | 
[ 25]  - Minority interests |        69.4 |  |  |  |  |  |  |  |  |  |  |  | 
[ 26]  +  Cash |      11,113 |  | If you get Value Errors all over, it is usually be |  |  |  |  |  |  |  |  |  | 
[ 27]  + Non-operating assets |     1,149.2 |  |  |  |  |  |  |  |  |  |  |  | 
[ 28] Value of equity |      63,043 |  |  |  |  |  |  |  |  |  |  |  | 
[ 29]  - Value of options | 0 |  |  |  |  |  |  |  |  |  |  |  | 
[ 30] Value of equity in common stock |      63,043 |  |  |  |  |  |  |  |  |  |  |  | 
[ 31] Number of shares |     3,591.2 |  |  |  |  |  |  |  |  |  |  |  | 
[ 32] Estimated value /share |      17.555 |  |  |  |  |  |  |  |  |  |  |  | 
[ 33] Price | 14 |  |  |  |  |  |  |  |  |  |  |  | 
[ 34] Price as % of value |     0.79749 |  |  |  |  |  |  |  |  |  |  |  | 
[ 36] Implied variables |  |  |  |  |  |  |  |  |  |  |  | After year 10 | 
[ 37] Sales to capital ratio |  |         1.5 |         1.5 |         1.5 |         1.5 |         1.5 |         1.6 |         1.6 |         1.6 |         1.6 |         1.6 |  | 
[ 38] Invested capital |      79,941 |      80,667 |      81,410 |      82,172 |      82,953 |      83,818 |      84,712 |      85,695 |      86,775 |      87,958 |      89,182 |  | 
[ 39] ROIC |    0.091756 |    0.092553 |    0.093342 |    0.094461 |    0.095578 |    0.096694 |    0.096752 |    0.096952 |    0.097224 |    0.097566 |    0.097971 |      0.1033 | 
